日期,備轉容量,臺北最低氣溫(℃),新北最低氣溫(℃),高雄最低氣溫(℃)
20190101,2557,15.7,15.9,19.0
20190102,1899,15.7,16.0,19.2
20190103,1891,17.1,17.1,19.1
20190104,1811,19.2,18.8,20.1
20190105,1903,18.8,18.6,21.2
20190106,2333,16.7,16.1,21.1
20190107,1800,17.7,18.0,20.6
20190108,1843,18.1,18.3,20.5
20190109,1954,16.8,17.1,20.1
20190110,1847,20.5,18.6,20.8
20190111,1884,20.4,19.7,21.8
20190112,2497,18.1,18.3,23.0
20190113,2398,17.9,18.1,21.3
20190114,1745,17.4,17.7,19.8
20190115,1844,18.2,18.3,20.6
20190116,1849,15.5,15.5,19.4
20190117,1933,14.8,14.7,17.1
20190118,1935,15.3,14.8,16.6
20190119,1954,14.9,13.2,19.8
20190120,2599,15.4,15.1,19.4
20190121,1915,14.3,14.0,17.4
20190122,1921,12.6,12.6,16.0
20190123,1938,11.9,12.6,14.6
20190124,1872,16.2,15.9,16.7
20190125,1906,15.4,13.0,18.0
20190126,2535,14.1,14.0,16.4
20190127,2092,14.3,14.0,16.1
20190128,1806,12.6,10.6,16.3
20190129,1832,17.2,16.5,18.2
20190130,1810,16.6,14.7,18.0
20190131,1890,15.0,14.8,20.1
20190201,2148,13.9,13.8,18.8
20190202,2241,16.5,13.6,20.0
20190203,2038,16.5,15.0,20.2
20190204,2563,16.9,16.8,21.4
20190205,2333,16.8,16.5,19.1
20190206,2322,16.9,16.2,20.0
20190207,2107,17.2,17.3,20.7
20190208,3115,16.3,15.8,20.0
20190209,3136,15.0,15.0,19.8
20190210,3023,15.0,15.0,19.0
20190211,2275,15.6,15.6,20.1
20190212,1860,16.7,16.7,19.1
20190213,1915,17.9,17.6,21.5
20190214,1943,18.2,18.1,21.5
20190215,1959,18.6,18.4,20.6
20190216,2426,16.2,16.2,21.8
20190217,2673,15.0,15.1,19.9
20190218,1762,17.3,17.7,20.3
20190219,1891,16.4,15.9,23.0
20190220,1838,19.5,18.9,23.4
20190221,1813,19.6,19.3,23.2
20190222,1870,15.4,15.4,20.6
20190223,1729,13.7,13.7,18.8
20190224,1770,14.5,14.4,20.0
20190225,1754,15.8,15.6,18.7
20190226,1818,16.8,16.7,19.5
20190227,1903,17.3,17.1,20.3
20190228,2430,17.5,17.4,22.2
20190301,2371,17.6,17.5,21.2
20190302,1833,19.1,19.1,20.3
20190303,2224,16.7,16.4,22.3
20190304,1895,17.0,16.6,19.7
20190305,1954,16.4,15.8,21.4
20190306,1922,15.0,15.1,21.2
20190307,1868,12.1,12.1,17.9
20190308,1816,12.4,12.3,17.4
20190309,2191,16.4,16.2,19.8
20190310,1823,15.7,15.4,20.0
20190311,1794,15.8,15.7,19.8
20190312,1879,13.7,14.6,18.6
20190313,1923,16.3,14.6,20.9
20190314,1780,17.9,16.1,21.2
20190315,1928,15.3,15.0,20.2
20190316,2518,18.2,17.5,20.9
20190317,2290,17.3,16.9,20.9
20190318,1755,18.7,18.0,21.6
20190319,1805,19.5,18.7,23.0
20190320,1844,20.0,18.9,22.7
20190321,1967,22.3,21.6,23.1
20190322,2341,17.5,17.5,24.3
20190323,2084,14.0,14.0,18.9
20190324,1859,14.1,13.9,18.1
20190325,1853,17.3,16.7,19.7
20190326,1887,17.6,17.2,20.9
20190327,1933,18.5,17.2,22.6
20190328,1892,21.0,19.9,24.0
20190329,2055,19.0,18.0,23.7
20190330,2155,18.1,17.7,23.4
20190331,2297,16.4,16.7,23.1
20190401,1930,15.2,15.4,21.3
20190402,1915,17.2,17.3,21.0
20190403,1905,18.8,18.4,22.7
20190404,2340,21.0,20.4,22.6
20190405,1872,20.1,19.8,23.9
20190406,1683,18.5,17.6,23.2
20190407,1778,21.2,20.1,23.3
20190408,1969,22.0,21.2,23.5
20190409,1964,23.1,21.9,24.1
20190410,2154,20.6,20.7,25.4
20190411,2079,18.5,17.9,24.5
20190412,2018,18.4,17.3,22.9
20190413,1760,18.8,18.4,24.7
20190414,2528,18.5,19.3,24.9
20190415,1986,17.7,18.8,24.4
20190416,1877,18.2,18.0,23.1
20190417,2050,19.6,19.2,22.3
20190418,2003,19.9,19.3,24.3
20190419,1920,22.0,21.5,22.6
20190420,1877,22.4,22.1,23.2
20190421,2298,22.8,22.1,24.9
20190422,1993,23.3,22.4,24.3
20190423,2026,24.6,24.3,26.6
20190424,2003,25.5,24.1,25.2
20190425,2290,25.8,24.3,25.2
20190426,2252,24.8,24.5,26.0
20190427,1993,22.6,22.9,26.8
20190428,1740,23.8,22.8,25.8
20190429,2211,23.3,22.3,25.7
20190430,2210,24.3,23.3,27.6
20190501,3093,20.0,19.5,23.9
20190502,2683,18.4,18.3,22.2
20190503,3316,18.6,18.2,22.7
20190504,3119,21.6,21.7,23.0
20190505,2255,22.3,22.2,23.0
20190506,2404,19.1,19.3,22.7
20190507,2609,17.9,17.9,23.0
20190508,2140,19.4,19.6,22.8
20190509,2212,20.0,20.0,24.4
20190510,2608,20.0,20.1,24.8
20190511,2837,21.5,21.1,25.3
20190512,2709,23.2,21.3,25.9
20190513,2311,24.8,23.6,26.0
20190514,2131,24.9,23.8,26.6
20190515,2253,24.7,25.3,27.5
20190516,2432,26.1,26.0,27.3
20190517,2546,24.5,24.1,27.6
20190518,2591,25.2,24.4,28.5
20190519,2127,26.4,25.8,28.4
20190520,3347,22.6,22.4,23.3
20190521,3887,21.9,22.0,25.4
20190522,4554,21.6,21.2,23.3
20190523,4712,21.4,21.5,24.3
20190524,3575,23.8,23.8,25.1
20190525,3984,26.1,24.1,25.0
20190526,3789,24.7,23.0,25.6
20190527,2706,24.9,25.1,26.9
20190528,3169,22.2,22.1,26.6
20190529,5905,22.3,22.0,27.0
20190530,4367,22.4,21.8,26.1
20190531,4515,24.8,24.4,26.5
20190601,4042,25.6,25.7,25.7
20190602,3632,25.7,25.7,27.1
20190603,4540,25.9,25.3,27.4
20190604,4546,26.2,25.2,25.2
20190605,4029,25.7,24.8,26.0
20190606,3785,26.1,25.0,28.4
20190607,4702,27.5,26.7,29.1
20190608,3310,27.1,26.8,27.6
20190609,4082,26.6,25.6,27.4
20190610,4147,25.4,24.7,24.7
20190611,4215,23.2,23.2,25.5
20190612,5418,22.5,22.5,24.4
20190613,3593,22.6,22.5,26.1
20190614,4895,23.4,22.7,25.6
20190615,5436,22.3,21.6,26.9
20190616,4962,23.5,22.0,27.4
20190617,3765,26.0,25.4,27.4
20190618,3257,26.5,25.6,28.8
20190619,3657,27.0,26.3,28.1
20190620,3703,28.3,27.1,28.9
20190621,4080,27.9,26.9,28.0
20190622,4190,26.5,25.9,28.4
20190623,4744,24.6,24.4,25.7
20190624,5416,24.1,24.3,27.0
20190625,3514,24.6,24.2,25.0
20190626,4112,24.5,23.9,25.1
20190627,4175,25.2,25.1,25.6
20190628,3567,26.3,25.6,26.6
20190629,3602,27.9,26.5,27.9
20190630,3439,28.3,27.7,27.4
20190701,3634,28.4,27.4,28.1
20190702,4883,26.3,26.2,26.3
20190703,4753,25.7,25.7,25.6
20190704,4895,27.3,27.1,25.8
20190705,5714,27.3,26.2,26.1
20190706,4435,27.9,26.4,25.9
20190707,4313,27.8,26.8,26.1
20190708,4455,27.9,26.6,26.1
20190709,4166,27.5,26.3,26.2
20190710,3897,27.3,26.3,25.9
20190711,4155,28.0,27.6,25.4
20190712,4332,26.8,26.2,25.8
20190713,5138,25.9,25.3,27.8
20190714,3257,28.0,26.3,27.5
20190715,3637,27.5,27.2,28.0
20190716,3224,28.0,27.3,29.3
20190717,3770,28.3,27.6,28.7
20190718,4080,27.1,27.0,28.2
20190719,4510,26.5,26.2,23.7
20190720,6218,27.8,26.8,25.1
20190721,5390,26.2,25.0,25.0
