"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1020.5","1024.2","1022.3","2020-02-01 08:38","1018.7","2020-02-01 14:53","13.9","19.1","2020-02-01 13:34","8.5","2020-02-01 05:35","6.5","63","38","2020-02-01 12:31","2.9","100","14.3","100","2020-02-01 16:19","0.0","0.0","0.0","...","0.0","...","9.9","90.4","19.13","27.5","2.8","7","2020-02-01 13:00","1.3"
"02","1019.2","1022.8","1021.1","2020-02-02 08:51","1016.9","2020-02-02 14:28","17.7","23.9","2020-02-02 13:53","13.1","2020-02-02 03:10","9.8","62","34","2020-02-02 12:29","2.0","90","9.0","70","2020-02-02 15:33","0.0","0.0","0.0","...","0.0","...","8.2","74.7","17.72","32.5","2.8","6","2020-02-02 12:00","2.8"
"03","1018.3","1022.0","1019.3","2020-02-03 20:10","1016.7","2020-02-03 13:36","17.9","24.7","2020-02-03 11:58","14.1","2020-02-03 05:20","12.9","74","43","2020-02-03 11:10","1.4","70","9.0","60","2020-02-03 14:09","0.1","3.7","0.1","2020-02-03 23:15","0.1","2020-02-03 23:15","4.5","40.9","10.69","26.8","-1.1","6","2020-02-03 12:00","6.5"
"04","1017.3","1020.9","1018.7","2020-02-04 00:02","1015.5","2020-02-04 15:02","17.1","19.1","2020-02-04 13:57","16.0","2020-02-04 05:00","15.7","92","79","2020-02-04 14:42","1.3","220","5.5","310","2020-02-04 14:33","8.1","16.7","1.0","2020-02-04 22:08","2.8","2020-02-04 21:35","0.0","0.0","2.74","15.0","-0.4","2","2020-02-04 14:00","10.0"
"05","1019.6","1023.3","1021.2","2020-02-05 10:12","1017.7","2020-02-05 04:45","16.0","16.9","2020-02-05 12:09","15.3","2020-02-05 03:44","13.4","85","70","2020-02-05 15:19","2.8","100","12.4","90","2020-02-05 15:21","6.8","8.6","0.9","2020-02-05 00:51","3.6","2020-02-05 00:38","0.0","0.0","4.06","18.5","1.4","2","2020-02-05 12:00","10.0"
"06","1016.6","1020.2","1020.9","2020-02-06 00:01","1013.0","2020-02-06 14:46","19.4","24.4","2020-02-06 14:26","15.9","2020-02-06 02:19","14.4","74","48","2020-02-06 14:37","3.3","110","11.9","100","2020-02-06 11:04","0.0","0.0","0.0","...","0.0","...","5.8","52.5","15.45","23.3","-2.3","6","2020-02-06 14:00","5.3"
"07","1018.9","1022.6","1021.3","2020-02-07 23:48","1016.0","2020-02-07 01:42","16.7","19.4","2020-02-07 11:34","15.5","2020-02-07 07:31","14.5","87","74","2020-02-07 11:43","2.0","320","10.5","20","2020-02-07 12:36","3.8","7.4","2.7","2020-02-07 06:27","3.2","2020-02-07 06:05","0.0","0.0","3.91","18.8","-0.3","3","2020-02-07 12:00","10.0"
"08","1022.3","1026.0","1023.9","2020-02-08 22:00","1020.8","2020-02-08 02:23","16.2","16.6","2020-02-08 09:09","15.5","2020-02-08 05:07","10.9","71","65","2020-02-08 09:13","2.3","90","9.6","70","2020-02-08 23:27","0.0","0.0","0.0","...","0.0","...","0.0","0.0","0.85","21.3","1.3","1","2020-02-08 13:00","10.0"
"09","1023.1","1026.8","1025.3","2020-02-09 10:18","1021.6","2020-02-09 14:29","14.9","15.9","2020-02-09 00:33","14.1","2020-02-09 23:48","10.4","74","70","2020-02-09 00:01","2.7","90","10.1","70","2020-02-09 23:59","0.0","0.0","0.0","...","0.0","...","0.0","0.0","1.78","16.5","1.3","1","2020-02-09 13:00","10.0"
"10","1019.9","1023.5","1022.2","2020-02-10 00:01","1018.2","2020-02-10 14:37","16.9","21.6","2020-02-10 13:08","13.4","2020-02-10 03:13","9.4","62","43","2020-02-10 12:15","3.6","100","12.6","90","2020-02-10 09:19","0.0","0.0","0.0","...","0.0","...","1.4","12.6","11.39","26.3","1.8","6","2020-02-10 13:00","8.0"
