觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),A型蒸發量(mm),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)
ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,1012.3,1015.9,1014.9,2021-03-01 08:28,1010.1,2021-03-01 17:02,21.6,27.4,2021-03-01 14:11,16.9,2021-03-01 01:22,17.5,79,56,2021-03-01 14:13,1.2,170,6.7,290,2021-03-01 15:20,0.0,0.0,0.0,...,0.0,...,5.0,43.1,15.11,13.5,-2.4,6,2021-03-01 13:00,6.3
2,1018.3,1022.0,1021.3,2021-03-02 21:36,1012.4,2021-03-02 00:01,16.4,22.0,2021-03-02 00:03,14.3,2021-03-02 21:47,14.1,87,75,2021-03-02 12:20,2.2,100,10.8,70,2021-03-02 20:00,10.0,8.3,1.5,2021-03-02 05:11,5.5,2021-03-02 04:50,0.0,0.0,4.61,19.5,-0.1,3,2021-03-02 12:00,10.0
3,1017.4,1021.0,1020.5,2021-03-03 00:20,1015.2,2021-03-03 16:05,16.9,18.3,2021-03-03 21:43,14.6,2021-03-03 00:01,14.3,85,78,2021-03-03 05:49,2.9,100,12.0,90,2021-03-03 12:34,0.5,3.3,0.5,2021-03-03 01:58,0.5,2021-03-03 01:58,0.0,0.0,2.74,25.0,-0.6,2,2021-03-03 12:00,10.0
4,1015.7,1019.3,1017.3,2021-03-04 09:18,1013.5,2021-03-04 14:11,18.1,21.8,2021-03-04 13:25,16.2,2021-03-04 07:45,16.5,91,75,2021-03-04 13:47,1.4,310,6.7,310,2021-03-04 13:50,1.5,6.1,0.5,2021-03-04 05:26,0.5,2021-03-04 05:26,0.5,4.3,6.43,5.8,-1.0,5,2021-03-04 13:00,10.0
5,1013.6,1017.2,1016.5,2021-03-05 00:01,1011.1,2021-03-05 15:05,20.4,23.6,2021-03-05 14:42,17.0,2021-03-05 01:43,17.7,85,74,2021-03-05 14:33,2.7,100,13.3,70,2021-03-05 10:28,0.5,1.8,0.5,2021-03-05 01:08,0.5,2021-03-05 01:08,2.5,21.4,12.10,32.5,-2.0,7,2021-03-05 13:00,7.5
6,1014.5,1018.1,1017.3,2021-03-06 09:24,1012.0,2021-03-06 01:56,18.2,20.9,2021-03-06 00:01,15.6,2021-03-06 09:43,17.5,96,87,2021-03-06 00:05,1.2,200,19.5,320,2021-03-06 08:35,33.5,9.4,4.5,2021-03-06 13:41,11.5,2021-03-06 13:36,0.0,0.0,3.25,5.8,-1.3,3,2021-03-06 12:00,9.5
7,1016.7,1020.3,1018.9,2021-03-07 21:36,1015.0,2021-03-07 03:53,17.9,19.7,2021-03-07 11:28,16.9,2021-03-07 18:59,16.9,94,86,2021-03-07 14:18,1.9,120,7.5,140,2021-03-07 02:45,1.5,3.0,0.5,2021-03-07 00:21,1.0,2021-03-07 00:21,0.0,0.0,4.31,33.8,-3.0,3,2021-03-07 12:00,10.0
8,1017.5,1021.1,1019.0,2021-03-08 08:21,1015.6,2021-03-08 15:25,18.2,19.8,2021-03-08 11:35,17.3,2021-03-08 02:37,16.4,90,81,2021-03-08 11:47,2.5,100,10.8,110,2021-03-08 14:19,T,0.2,T,2021-03-08 23:03,T,2021-03-08 23:03,0.1,0.9,7.23,20.8,-1.2,5,2021-03-08 12:00,10.0
9,1017.3,1020.9,1019.2,2021-03-09 22:06,1015.0,2021-03-09 14:11,19.8,23.6,2021-03-09 14:20,17.7,2021-03-09 00:20,17.5,87,72,2021-03-09 13:38,2.5,100,10.8,160,2021-03-09 12:16,T,0.1,T,2021-03-09 18:10,T,2021-03-09 18:10,2.3,19.5,13.20,16.5,-2.8,7,2021-03-09 13:00,8.8
10,1018.6,1022.2,1020.4,2021-03-10 08:14,1016.9,2021-03-10 15:53,18.9,21.3,2021-03-10 13:19,17.5,2021-03-10 06:20,16.5,86,71,2021-03-10 13:15,3.4,100,12.5,50,2021-03-10 10:56,T,0.2,T,2021-03-10 02:03,T,2021-03-10 02:03,0.3,2.5,10.08,22.5,1.7,6,2021-03-10 13:00,9.0
11,1015.9,1019.5,1018.2,2021-03-11 00:01,1014.2,2021-03-11 14:32,22.0,27.5,2021-03-11 12:14,18.7,2021-03-11 00:01,17.8,78,55,2021-03-11 11:38,1.9,300,10.3,60,2021-03-11 01:14,0.0,0.0,0.0,...,0.0,...,9.7,82.0,20.52,21.5,3.4,8,2021-03-11 12:00,1.3
12,1016.6,1020.2,1018.2,2021-03-12 22:33,1015.0,2021-03-12 03:19,20.0,23.5,2021-03-12 11:58,18.5,2021-03-12 06:47,17.3,85,73,2021-03-12 11:59,2.4,100,12.9,80,2021-03-12 17:09,0.0,0.0,0.0,...,0.0,...,1.8,15.2,11.93,13.3,3.3,7,2021-03-12 12:00,9.5
13,1016.5,1020.1,1018.3,2021-03-13 08:48,1015.0,2021-03-13 14:31,18.9,21.5,2021-03-13 11:15,17.7,2021-03-13 02:34,12.7,68,56,2021-03-13 11:53,3.3,100,13.0,110,2021-03-13 10:53,0.0,0.0,0.0,...,0.0,...,5.2,43.8,19.12,27.5,-3.8,10,2021-03-13 12:00,7.5
14,1013.8,1017.4,1016.1,2021-03-14 08:43,1012.2,2021-03-14 14:41,20.3,23.4,2021-03-14 12:37,18.4,2021-03-14 00:35,14.1,68,58,2021-03-14 12:37,3.2,100,11.8,110,2021-03-14 16:41,T,0.1,T,2021-03-14 01:09,T,2021-03-14 01:09,8.1,68.0,21.21,23.0,3.9,10,2021-03-14 13:00,5.8
15,1011.1,1014.6,1012.8,2021-03-15 08:28,1009.2,2021-03-15 14:26,22.7,28.9,2021-03-15 12:37,18.0,2021-03-15 06:03,16.4,69,45,2021-03-15 12:36,1.6,100,8.9,350,2021-03-15 13:49,0.0,0.0,0.0,...,0.0,...,9.2,77.1,21.01,26.5,3.0,10,2021-03-15 12:00,3.8
16,1010.4,1013.9,1012.2,2021-03-16 08:04,1008.1,2021-03-16 14:42,23.9,30.0,2021-03-16 13:33,19.1,2021-03-16 05:07,17.1,68,39,2021-03-16 12:22,1.4,190,8.0,330,2021-03-16 15:21,0.0,0.0,0.0,...,0.0,...,10.7,89.5,22.52,21.0,4.4,10,2021-03-16 13:00,0.8
17,1010.8,1014.3,1011.8,2021-03-17 21:22,1009.9,2021-03-17 15:46,22.1,26.0,2021-03-17 11:57,20.3,2021-03-17 05:47,19.2,84,67,2021-03-17 12:02,1.8,330,7.4,300,2021-03-17 12:18,0.0,0.0,0.0,...,0.0,...,5.2,43.4,15.67,12.8,3.3,9,2021-03-17 12:00,5.0
18,1010.4,1013.9,1012.4,2021-03-18 08:58,1008.5,2021-03-18 16:39,21.6,24.9,2021-03-18 16:11,19.5,2021-03-18 05:55,19.8,90,77,2021-03-18 13:56,1.1,300,5.2,330,2021-03-18 13:50,0.0,0.0,0.0,...,0.0,...,1.0,8.3,9.59,7.0,1.6,5,2021-03-18 13:00,8.5
19,1009.0,1012.5,1010.7,2021-03-19 07:47,1007.2,2021-03-19 17:10,23.0,26.8,2021-03-19 13:29,19.9,2021-03-19 03:49,19.5,81,64,2021-03-19 13:27,1.4,280,7.4,340,2021-03-19 14:33,0.0,0.0,0.0,...,0.0,...,5.5,45.7,17.81,7.0,2.3,8,2021-03-19 12:00,4.8
20,1008.1,1011.6,1010.3,2021-03-20 21:26,1006.1,2021-03-20 14:22,22.8,27.7,2021-03-20 14:54,19.1,2021-03-20 20:17,19.4,82,62,2021-03-20 12:55,1.8,330,7.9,330,2021-03-20 11:14,0.0,0.0,0.0,...,0.0,...,7.3,60.5,18.89,15.8,5.3,8,2021-03-20 13:00,6.0
