"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.9","1015.1","1018.3","2020-03-01 23:57","1011.5","2020-03-01 04:02","20.5","25.6","2020-03-01 11:47","18.3","2020-03-01 05:50","17.3","83","61","2020-03-01 11:07","1.5","70","8.0","360","2020-03-01 13:27","0.0","0.0","0.0","...","0.0","...","0.9","7.8","6.62","12.9","2.5","...","...","7.1"
"02","1019.6","1020.9","1022.1","2020-03-02 08:52","1017.9","2020-03-02 15:59","17.2","18.3","2020-03-02 00:01","16.0","2020-03-02 06:38","12.7","75","64","2020-03-02 10:31","3.8","70","12.2","90","2020-03-02 16:29","0.0","0.0","0.0","...","0.0","...","0.0","0.0","6.37","20.4","2.3","...","...","9.0"
"03","1018.1","1019.3","1020.1","2020-03-03 00:12","1015.5","2020-03-03 16:07","20.3","25.1","2020-03-03 14:26","17.0","2020-03-03 03:11","15.1","73","47","2020-03-03 14:32","2.5","60","11.3","70","2020-03-03 01:45","0.0","0.0","0.0","...","0.0","...","2.9","25.0","10.42","20.5","-1.8","...","...","7.5"
"04","1018.8","1020.1","1022.6","2020-03-04 22:48","1015.4","2020-03-04 03:15","17.9","20.3","2020-03-04 04:06","14.9","2020-03-04 22:55","15.2","84","71","2020-03-04 15:03","2.3","70","10.5","70","2020-03-04 15:08","4.5","5.5","1.0","2020-03-04 09:21","2.0","2020-03-04 08:49","0.0","0.0","3.43","14.6","-2.7","...","...","9.0"
"05","1020.9","1022.2","1023.2","2020-03-05 09:36","1018.8","2020-03-05 15:21","14.9","15.8","2020-03-05 11:56","13.9","2020-03-05 03:59","12.6","86","76","2020-03-05 11:57","3.3","60","11.6","60","2020-03-05 14:14","16.5","11.0","1.0","2020-03-05 01:17","4.0","2020-03-05 03:54","0.0","0.0","1.46","12.0","-1.0","...","...","9.9"
"06","1015.9","1017.1","1019.5","2020-03-06 00:01","1013.0","2020-03-06 16:39","19.5","25.1","2020-03-06 12:14","15.1","2020-03-06 01:03","15.0","76","48","2020-03-06 12:16","2.3","50","9.6","60","2020-03-06 00:10","0.0","0.0","0.0","...","0.0","...","3.7","31.7","10.49","19.6","1.8","...","...","6.3"
"07","1013.1","1014.3","1015.8","2020-03-07 08:40","1010.4","2020-03-07 15:40","21.4","26.9","2020-03-07 13:19","17.2","2020-03-07 05:13","17.3","79","50","2020-03-07 12:01","1.0","70","5.0","280","2020-03-07 13:31","0.0","0.0","0.0","...","0.0","...","2.5","21.3","9.80","13.3","2.3","...","...","7.6"
"08","1010.4","1011.6","1013.3","2020-03-08 00:13","1007.8","2020-03-08 14:35","23.3","28.1","2020-03-08 12:35","20.0","2020-03-08 00:15","18.8","78","51","2020-03-08 12:41","1.8","60","7.7","60","2020-03-08 11:45","0.0","0.0","0.0","...","0.0","...","3.5","29.8","11.31","20.8","2.9","...","...","7.8"
"09","1006.5","1007.7","1009.7","2020-03-09 00:13","1004.3","2020-03-09 15:23","22.8","27.5","2020-03-09 13:09","19.5","2020-03-09 05:57","19.7","84","52","2020-03-09 10:24","1.0","220","7.0","270","2020-03-09 13:37","1.1","3.0","0.5","2020-03-09 23:49","0.5","2020-03-09 22:59","2.6","22.1","8.01","8.4","-1.8","...","...","7.3"
