觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),A型蒸發量(mm),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)
01,1026.3,1027.6,1028.3,2019-01-01 09:33,1024.5,2019-01-01 14:28,16.4,17.4,2019-01-01 14:32,15.9,2019-01-01 00:28,15.0,92,87,2019-01-01 14:21,3.9,70,12.0,80,2019-01-01 20:41,1.3,8.3,0.3,2019-01-01 22:43,0.5,2019-01-01 22:25,0.0,0.0,4.06,12.0,-0.3,...,...,10.0
02,1024.9,1026.2,1027.4,2019-01-02 08:58,1022.3,2019-01-02 14:04,17.2,18.6,2019-01-02 12:48,16.0,2019-01-02 00:01,15.9,93,87,2019-01-02 13:16,3.6,60,12.2,80,2019-01-02 12:06,3.0,18.9,0.5,2019-01-02 07:49,1.0,2019-01-02 07:59,0.0,0.0,4.65,12.3,-0.2,...,...,10.0
03,1024.5,1025.8,1026.7,2019-01-03 09:36,1022.1,2019-01-03 23:59,18.5,19.8,2019-01-03 22:24,17.1,2019-01-03 05:36,17.7,96,92,2019-01-03 14:09,3.2,60,10.2,50,2019-01-03 10:43,7.5,16.6,1.0,2019-01-03 01:02,1.5,2019-01-03 00:53,0.0,0.0,4.58,14.8,-0.1,...,...,9.4
04,1020.5,1021.8,1022.2,2019-01-04 00:01,1018.3,2019-01-04 13:20,21.4,27.7,2019-01-04 11:33,18.8,2019-01-04 23:42,20.0,92,75,2019-01-04 12:03,2.1,260,8.4,240,2019-01-04 12:07,0.0,0.0,0.0,...,0.0,...,1.8,17.0,6.65,16.9,2.2,...,...,6.4
05,1019.7,1021.0,1021.5,2019-01-05 00:23,1017.9,2019-01-05 14:58,19.8,22.5,2019-01-05 14:32,18.6,2019-01-05 01:01,18.8,94,87,2019-01-05 12:42,1.2,70,6.2,80,2019-01-05 17:31,3.0,2.5,1.5,2019-01-05 22:05,2.0,2019-01-05 21:30,0.0,0.0,4.23,7.1,-0.1,...,...,10.0
06,1021.5,1022.8,1023.8,2019-01-06 09:36,1020.2,2019-01-06 00:45,17.9,19.3,2019-01-06 15:21,16.1,2019-01-06 04:56,17.1,95,88,2019-01-06 17:30,2.3,60,10.5,60,2019-01-06 16:42,5.5,10.5,1.0,2019-01-06 01:02,2.0,2019-01-06 00:26,0.0,0.0,3.74,10.9,-1.1,...,...,9.8
07,1019.3,1020.5,1021.5,2019-01-07 00:24,1017.1,2019-01-07 14:57,20.5,23.1,2019-01-07 10:58,18.0,2019-01-07 01:37,18.8,90,82,2019-01-07 12:40,2.6,60,10.1,40,2019-01-07 02:12,0.0,0.0,0.0,...,0.0,...,0.7,6.6,7.02,19.9,-1.0,...,...,8.5
08,1021.0,1022.3,1023.3,2019-01-08 22:45,1018.9,2019-01-08 00:23,19.9,21.9,2019-01-08 13:03,18.3,2019-01-08 23:46,18.6,92,85,2019-01-08 12:49,2.4,70,11.2,70,2019-01-08 22:03,T,0.9,T,2019-01-08 06:45,T,2019-01-08 06:45,0.4,3.8,6.66,13.0,2.1,...,...,9.8
09,1022.1,1023.4,1024.7,2019-01-09 07:59,1019.6,2019-01-09 23:40,19.1,21.5,2019-01-09 14:04,17.1,2019-01-09 05:39,17.2,89,83,2019-01-09 11:50,4.4,60,13.2,60,2019-01-09 05:39,0.0,0.0,0.0,...,0.0,...,1.6,15.1,9.11,18.6,1.9,...,...,8.8
10,1018.4,1019.7,1020.5,2019-01-10 08:59,1016.1,2019-01-10 14:12,21.9,27.6,2019-01-10 14:32,18.6,2019-01-10 07:07,20.0,89,73,2019-01-10 14:04,1.2,200,7.5,60,2019-01-10 00:08,0.0,0.0,0.0,...,0.0,...,4.6,43.2,10.27,14.9,1.9,...,...,5.6
11,1017.0,1018.3,1018.8,2019-01-11 08:25,1014.9,2019-01-11 14:19,21.5,26.3,2019-01-11 12:27,19.7,2019-01-11 23:54,20.3,93,79,2019-01-11 12:26,1.0,270,5.6,280,2019-01-11 13:52,0.0,0.0,0.0,...,0.0,...,1.4,13.1,7.84,6.0,1.8,...,...,9.4
12,1018.2,1019.5,1020.1,2019-01-12 20:32,1016.0,2019-01-12 03:32,19.5,21.2,2019-01-12 12:31,18.3,2019-01-12 20:15,18.0,91,84,2019-01-12 17:04,1.9,70,9.2,70,2019-01-12 16:56,0.0,0.0,0.0,...,0.0,...,0.0,0.0,2.55,10.5,1.0,...,...,10.0
13,1019.2,1020.5,1020.7,2019-01-13 09:06,1017.7,2019-01-13 14:21,18.7,19.8,2019-01-13 11:37,18.1,2019-01-13 00:50,16.7,88,84,2019-01-13 14:40,2.9,70,8.8,40,2019-01-13 22:39,0.0,0.0,0.0,...,0.0,...,0.0,0.0,3.64,16.6,1.5,...,...,9.9
14,1017.7,1019.0,1020.3,2019-01-14 07:50,1015.3,2019-01-14 14:18,19.9,22.9,2019-01-14 12:47,17.7,2019-01-14 04:16,16.4,80,72,2019-01-14 12:35,3.8,60,11.9,30,2019-01-14 12:52,0.1,0.4,0.1,2019-01-14 23:40,0.1,2019-01-14 23:30,3.2,29.9,10.58,15.9,-2.8,...,...,7.9
15,1017.7,1018.9,1020.3,2019-01-15 22:13,1015.6,2019-01-15 15:02,20.4,23.4,2019-01-15 15:15,18.3,2019-01-15 23:56,18.3,88,80,2019-01-15 14:42,1.5,70,8.5,60,2019-01-15 23:54,0.2,2.2,0.2,2019-01-15 06:43,0.2,2019-01-15 06:10,0.1,0.9,4.76,16.4,-0.6,...,...,9.4
16,1020.2,1021.5,1022.5,2019-01-16 08:20,1017.7,2019-01-16 14:22,16.6,18.3,2019-01-16 00:01,15.5,2019-01-16 23:54,15.5,93,87,2019-01-16 12:46,3.0,70,11.4,40,2019-01-16 14:49,12.5,17.2,1.0,2019-01-16 07:03,2.5,2019-01-16 06:45,0.0,0.0,1.95,11.9,-0.2,...,...,10.0
