"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.9","1002.2","1003.6","2019-07-01 00:04","999.9","2019-07-01 16:45","30.3","34.2","2019-07-01 13:23","28.1","2019-07-01 04:33","26.4","80","68","2019-07-01 08:40","2.6","60","10.8","320","2019-07-01 15:02","23.0","1.2","8.5","2019-07-01 16:07","23.0","2019-07-01 15:38","7.0","52.0","16.91","11.0","-5.2","12","2019-07-01 13:00","5.6"
"02","1004.3","1004.7","1007.5","2019-07-02 22:46","1001.2","2019-07-02 02:05","27.8","30.2","2019-07-02 11:23","26.3","2019-07-02 17:19","25.7","89","82","2019-07-02 00:02","3.3","160","14.8","190","2019-07-02 21:39","50.5","11.4","9.0","2019-07-02 16:31","11.5","2019-07-02 16:30","0.5","3.7","6.47","7.2","/","6","2019-07-02 12:00","9.6"
"03","1008.9","1009.3","1011.1","2019-07-03 20:04","1006.4","2019-07-03 01:52","28.0","33.3","2019-07-03 13:04","25.6","2019-07-03 20:24","25.6","87","68","2019-07-03 13:19","2.4","160","14.6","210","2019-07-03 13:29","85.5","5.7","14.5","2019-07-03 17:18","41.0","2019-07-03 17:12","1.2","8.9","9.46","9.7","-4.8","9","2019-07-03 13:00","9.1"
"04","1009.5","1009.9","1010.6","2019-07-04 08:12","1007.5","2019-07-04 17:07","29.0","32.7","2019-07-04 13:35","25.8","2019-07-04 02:56","25.6","82","69","2019-07-04 13:49","1.1","180","8.6","200","2019-07-04 15:40","5.0","3.3","3.5","2019-07-04 02:32","4.0","2019-07-04 02:31","4.6","34.2","15.61","9.7","/","9","2019-07-04 14:00","7.4"
"05","1006.8","1007.2","1008.8","2019-07-05 00:02","1004.6","2019-07-05 17:29","28.1","30.6","2019-07-05 16:47","26.1","2019-07-05 08:48","25.4","85","72","2019-07-05 17:32","1.2","60","9.3","210","2019-07-05 06:30","24.5","5.6","9.5","2019-07-05 10:56","11.0","2019-07-05 10:08","0.0","0.0","3.82","10.7","-3.8","3","2019-07-05 14:00","9.1"
"06","1005.1","1005.4","1006.6","2019-07-06 22:59","1003.3","2019-07-06 17:13","29.3","32.6","2019-07-06 12:55","25.9","2019-07-06 05:25","25.6","81","71","2019-07-06 13:40","1.3","50","7.8","290","2019-07-06 15:23","14.0","0.9","6.5","2019-07-06 06:44","6.5","2019-07-06 05:54","5.5","41.0","15.83","11.3","-4.4","11","2019-07-06 12:00","7.6"
"07","1006.9","1007.2","1009.1","2019-07-07 22:11","1005.2","2019-07-07 04:16","28.9","32.5","2019-07-07 13:47","26.1","2019-07-07 05:41","25.8","84","73","2019-07-07 13:30","1.4","60","12.1","180","2019-07-07 12:00","9.5","2.3","2.5","2019-07-07 05:35","2.5","2019-07-07 05:32","4.2","31.3","16.25","11.0","-5.2","11","2019-07-07 14:00","7.5"
"08","1008.0","1008.4","1009.3","2019-07-08 07:53","1006.8","2019-07-08 17:13","27.8","31.1","2019-07-08 11:21","26.1","2019-07-08 01:17","25.4","87","75","2019-07-08 11:43","1.5","60","7.8","90","2019-07-08 07:57","47.5","3.9","9.0","2019-07-08 09:10","18.0","2019-07-08 07:06","1.5","11.2","9.47","9.2","-2.0","8","2019-07-08 12:00","9.2"
"09","1005.9","1006.3","1007.7","2019-07-09 00:01","1004.3","2019-07-09 16:16","27.7","31.8","2019-07-09 11:25","26.2","2019-07-09 02:36","25.7","89","77","2019-07-09 10:17","1.5","60","13.2","350","2019-07-09 12:00","38.0","2.8","9.0","2019-07-09 01:47","12.5","2019-07-09 12:02","1.2","9.0","7.54","8.2","-3.9","6","2019-07-09 12:00","9.5"
